@ref(networkElement)|@const(IpagDevice)class
@index(PE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_model|device_name|device_role|device_sub_role|device_type|ipaddress|loopback10_ipaddr|loopback_ipaddr|mcn|provision_status|ptnii|savpn_siteid|snmpcom_string|subscriber_name
135.184.213.143|135.184.213.143|135.184.213.143|EGS-CFO|EGS|||||CONTRIVED||||||135.184.213.143||||||
135.184.236.238|135.184.236.238|135.184.236.238|EGS-CFO|EGS|||||mdsnwiegs01-c6513||||||||||||
12.122.8.101|12.122.8.101|12.122.8.101|||GFPIP|true|||ATTGA83CRS|||BR|12.122.8.101|12.122.8.101|||||||
12.83.6.4|12.83.6.4|12.83.6.4|||GFPIP|true|||BOCFL82CRS|||BR|12.83.6.4|12.83.6.4|||||||
12.123.141.128|12.123.141.128|12.123.141.128|EGS-CFO|EGS|||||gr2ca32ck4||||||||||||
12.123.70.233|12.123.70.233|12.123.70.233|EGS-CFO|EGS|||||mpsmn306me1||||||||||||
12.122.124.212|12.122.124.212|12.122.124.212|EGS-CFO|EGS|||||dtrmi38ck4||||||||||||
12.123.67.213|12.123.67.213|12.123.67.213|EGS-CFO|EGS|||||omhne304me1||||||||||||
12.122.120.133|12.122.120.133|12.122.120.133|EGS-CFO|EGS|||||ftwtx40ck4||||||||||||
165.87.64.161|165.87.64.161|165.87.64.161|EGS-CFO|EGS|||||INBNGR2101ER1||||||||||||
12.82.63.13|12.82.63.13|12.82.63.13|||GFPIP|true|||||||12.82.63.13|12.82.63.13|||||||
12.122.125.82|12.122.125.82|12.122.125.82|EGS-CFO|EGS|||||ormfl39ck4||||||||||||
12.82.0.127|12.82.0.127|12.82.0.127|||GFPIP|true|||||||12.82.0.127|12.82.0.127|||||||
12.123.80.105|12.123.80.105|12.123.80.105|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|STAGFLMA51S|IPAG2||JUNIPER MX SERIES|12.122.122.139|12.122.128.14|12.123.80.105||IN-SERVICE|STBFL375IA1|||
12.82.146.6|12.82.146.6|12.82.146.6|||GFPIP|true|||||||12.82.146.6|12.82.146.6|||||||
12.123.80.197|12.123.80.197|12.123.80.197|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32ZSA|IPAG2||JUNIPER MX SERIES|12.122.122.235|149.0.3.12|12.123.80.197||IN-SERVICE|ORGFL388IA1|||
12.123.80.35|12.123.80.35|12.123.80.35|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32AS1|IPAG1||JUNIPER MX SERIES|12.122.122.61|12.123.136.41|12.123.80.35||IN-SERVICE|ORGFL315IA1|||
12.82.98.5|12.82.98.5|12.82.98.5|||GFPIP|true|||||||12.82.98.5|12.82.98.5|||||563||
12.82.146.4|12.82.146.4|12.82.146.4|||GFPIP|true|||||||12.82.146.4|12.82.146.4|||||||
12.123.80.63|12.123.80.63|12.123.80.63|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|PNCYFLMAYD1|IPAG1||JUNIPER MX SERIES|12.122.122.88|12.123.136.67|12.123.80.63||IN-SERVICE|PNAFL301IA1|||
12.80.72.102|12.80.72.102|12.80.72.102|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL2401E|IPAG1||JUNIPER MX SERIES|10.204.247.109|12.123.75.198|12.80.72.102||IN-SERVICE|ORIFL340IA1|||
